GTFS Stop ID,Station ID,Line,Stop Name,Borough,GTFS Latitude,GTFS Longitude
127,317,Broadway - 7Av,Times Sq-42 St,M,40.75529,-73.987495
S17,515,Staten Island,Annadale,SI,40.54046,-74.178217
S01,139,Franklin Shuttle,Franklin Av,Bk,40.680596,-73.955827
254,349,Eastern Pky,Junius St,Bk,40.663515,-73.902447
M01,108,Myrtle Av,Middle Village-Metropolitan Av,Q,40.711396,-73.889601
726,471,Flushing,34 St-Hudson Yards,M,40.755882,-74.00191
713,457,Flushing,52 St,Q,40.744149,-73.912549
615,373,Pelham,E 149 St,Bx,40.812118,-73.904098
M11,97,Jamaica,Myrtle Av,Bk,40.697207,-73.935657
F16,234,6th Av - Culver,East Broadway,M,40.713715,-73.990173
F33,248,6th Av - Culver,Avenue N,Bk,40.61514,-73.974197
233,336,Eastern Pky,Hoyt St,Bk,40.690545,-73.985065
M05,110,Myrtle Av,Forest Av,Q,40.704423,-73.903077
S30,502,Staten Island,Tompkinsville,SI,40.636949,-74.074835
R43,37,4th Av,77 St,Bk,40.629742,-74.02551
A36,170,8th Av - Fulton St,Chambers St,M,40.714111,-74.008585
604,363,Pelham,Westchester Sq-E Tremont Av,Bx,40.839892,-73.842952
D09,217,Concourse,170 St,Bx,40.839306,-73.9134
629,400,Lexington Av,59 St,M,40.762526,-73.967967
219,432,Lenox - White Plains Rd,Prospect Av,Bx,40.819585,-73.90177
F39,253,6th Av - Culver,Neptune Av,Bk,40.581011,-73.974574
N09,78,Sea Beach,Avenue U,Bk,40.597473,-73.979137
610,368,Pelham,Morrison Av-Soundview,Bx,40.829521,-73.874516
F32,247,6th Av - Culver,Bay Pkwy,Bk,40.620769,-73.975264
R13,8,Astoria,5 Av/59 St,M,40.764811,-73.973347
B22,69,West End,25 Av,Bk,40.597704,-73.986829
622,393,Lexington Av,116 St,M,40.798629,-73.941617
H14,202,Rockaway,Beach 105 St,Q,40.583209,-73.827559
F05,258,Queens Blvd,Briarwood,Q,40.709179,-73.820574
R19,14,Broadway - Brighton,23 St,M,40.741303,-73.989344
R18,13,Broadway - Brighton,28 St,M,40.745494,-73.988691
114,304,Broadway - 7Av,145 St,M,40.826551,-73.95036
A03,144,8th Av - Fulton St,Dyckman St,M,40.865491,-73.927271
M16,101,Jamaica,Marcy Av,Bk,40.708359,-73.957757
720,463,Flushing,Hunters Point Av,Q,40.742216,-73.948916
A16,154,8th Av - Fulton St,116 St,M,40.805085,-73.954882
A41,174,8th Av - Fulton St,Jay St-MetroTech,Bk,40.692338,-73.987342
R39,33,4th Av,45 St,Bk,40.648939,-74.010006
A52,185,8th Av - Fulton St,Liberty Av,Bk,40.674542,-73.896548
G34,290,Crosstown,Classon Av,Bk,40.688873,-73.96007
D30,46,Broadway - Brighton,Cortelyou Rd,Bk,40.640927,-73.963891
G20,272,Queens Blvd,36 St,Q,40.752039,-73.928781
418,412,Lexington Av,Fulton St,M,40.710368,-74.009509
212,425,Lenox - White Plains Rd,Bronx Park East,Bx,40.848828,-73.868457
503,444,Dyre Av,Gun Hill Rd,Bx,40.869526,-73.846384
B18,65,West End,79 St,Bk,40.613501,-74.00061
G29,285,Crosstown,Metropolitan Av,Bk,40.712792,-73.951418
